cfr,nombre,fc_alta_rgfp,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,fc_estado,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte
ESP000007699,GEMA SANTA SEGUNDO,1989-05-10,7.4,1.92,Madera,33.1,Baja Definitiva,1999-09-23,Luarca,Asturias,Asturias,Artes menores
ESP000007700,DE LA UZ,1989-05-10,8.56,3.46,Madera,34.57,Baja Definitiva,2003-12-02,Luarca,Asturias,Asturias,Artes fijas
ESP000007701,NUESTRA MARIUCA,1989-05-10,18.7,48.16,Madera,169.16,Baja Definitiva,1996-06-27,Luarca,Asturias,Asturias,Artes fijas
ESP000007702,CARMEN GELEN,1989-05-10,12.316,11.994000000000002,Madera,66.19,Baja Definitiva,1992-09-15,Luarca,Asturias,Asturias,Palangre
ESP000007703,LOANSIAN,1989-05-10,12.35,8.1,Madera,94.14,Baja Definitiva,2012-01-19,Foz,Lugo,Galicia,Artes menores
ESP000007704,NUEVO PLAYA DE CILLERO,1989-05-10,31.15,170.0,Madera,625.17,Baja Definitiva,1995-09-11,Cillero,Lugo,Galicia,Artes fijas
ESP000007706,PEREZ VACAS,1989-05-10,31.1,258.0,Acero,514.85,Baja Definitiva,2008-04-14,Cillero,Lugo,Galicia,Artes fijas
ESP000007707,CLUB DEL MAR,1989-05-10,8.9,3.28,Madera,50.75,Baja Definitiva,1999-04-21,Oviñana,Asturias,Asturias,Artes fijas
ESP000007708,MAR DOS,1989-05-10,33.44,221.96,Acero,286.84,Baja Definitiva,2002-03-18,Burela,Lugo,Galicia,Arrastre
ESP000007710,PINO MONTERO,1989-05-10,30.1,240.0,Acero,441.3,Baja Definitiva,2007-11-15,Cillero,Lugo,Galicia,Artes fijas
ESP000007712,MODESTO DIAZ SANTIAGO,1989-05-10,16.8,35.17,Madera,176.52,Baja Definitiva,2004-10-25,Cillero,Lugo,Galicia,Cerco
ESP000007714,DIANA,1989-05-10,12.3,8.99,Madera,69.87,Baja Definitiva,1999-03-23,Cillero,Lugo,Galicia,Artes menores
ESP000007718,NICO PRIMERO,1989-05-10,30.2,213.0,Acero,397.17,Baja Definitiva,2007-05-28,Cillero,Lugo,Galicia,Artes fijas
ESP000007722,HERMANOS PINO LADRA,1989-05-10,28.32,192.0,Acero,441.3,Baja Definitiva,2014-02-19,Cillero,Lugo,Galicia,Arrastre
ESP000007724,SANTA ROSARIO,1989-05-10,9.8,3.45,Madera,23.54,Baja Definitiva,2003-02-04,Burela,Lugo,Galicia,Artes menores
ESP000007726,MARIA ANGELA,1989-05-10,8.5,2.99,Madera,36.77,Baja Definitiva,2000-11-10,Vicedo,Lugo,Galicia,Palangre
ESP000007727,JOSE DOMINGO,1989-05-10,27.1,174.6,Acero,338.33,Baja Definitiva,1997-03-04,Aviles,Asturias,Asturias,Artes fijas
ESP000007730,A POMBA,1989-05-10,21.25,46.91,Madera,211.09,Baja Definitiva,2007-04-16,Cillero,Lugo,Galicia,Cerco
ESP000007732,SENEIVO PRIMERO,1989-05-10,34.2,303.0,Acero,661.95,Baja Definitiva,2005-10-20,Cillero,Lugo,Galicia,Artes fijas
ESP000007733,HERMANOS SANJUAN,1989-05-10,24.37,162.62,Madera,294.2,Baja Definitiva,1996-04-12,Burela,Lugo,Galicia,Artes fijas
ESP000007735,MANOLITO 3,1989-05-10,13.12,13.74,Madera,117.65,Alta Definitiva,1989-05-10,Bueu,Pontevedra,Galicia,Cerco
ESP000007736,VILLAR,1989-05-10,5.1,0.64,Madera,9.56,Baja Definitiva,2019-06-19,Cangas,Pontevedra,Galicia,Artes menores
ESP000007737,ESTEBAN,1989-05-10,5.6,0.83,Madera,8.09,Baja Definitiva,1997-06-10,Bueu,Pontevedra,Galicia,Artes menores
ESP000007738,ENDEÑO,1989-05-10,10.0,5.21,Madera,94.14,Baja Definitiva,1997-11-26,Cangas,Pontevedra,Galicia,Artes menores
ESP000007739,AVE DEL MAR,1989-05-10,8.5,3.73,Madera,94.14,Baja Definitiva,2008-01-21,Bueu,Pontevedra,Galicia,Artes menores
ESP000007740,VAMOS INDO,1989-05-10,7.8,7.365333333333336,Madera,66.19,Baja Definitiva,1992-04-27,Bueu,Pontevedra,Galicia,Desconocido
ESP000007741,PLAYA DE BELUSO,1989-05-10,12.65,10.98,Madera,73.53,Alta Definitiva,1989-05-10,Bueu,Pontevedra,Galicia,Artes menores
ESP000007743,VENDAVAL,1989-05-10,9.58,6.26,Madera,94.14,Baja Definitiva,1995-04-19,Bueu,Pontevedra,Galicia,Artes menores
ESP000007745,SANTIMAR,1989-05-10,12.7,9.89,Madera,99.29,Baja Definitiva,2008-10-13,Redondela,Pontevedra,Galicia,Cerco
ESP000007746,AUDAZ III,1989-05-10,12.05,10.412666666666667,Madera,72.08,Baja Definitiva,1991-06-20,Marin,Pontevedra,Galicia,Cerco
ESP000007748,MAR AZUL,1989-05-10,5.75,1.15,Madera,11.77,Baja Definitiva,2003-05-20,Bueu,Pontevedra,Galicia,Artes menores
ESP000007749,DOS HERMANOS,1989-05-10,4.8,0.53,Madera,8.83,Baja Definitiva,2012-02-10,Bueu,Pontevedra,Galicia,Artes menores
ESP000007751,COMA TI,1989-05-10,11.35,7.82,Madera,73.55,Baja Definitiva,2003-03-17,Portonovo,Pontevedra,Galicia,Artes menores
ESP000007752,PUNTA TREMIÑO,1989-05-10,8.4,4.527333333333333,Madera,63.99,Baja Definitiva,1992-10-15,Bueu,Pontevedra,Galicia,Desconocido
ESP000007753,MORRIÑA,1989-05-10,9.4,4.46,Madera,44.13,Baja Definitiva,2006-06-20,Cangas,Pontevedra,Galicia,Artes menores
ESP000007755,JUAN XXIII,1989-05-10,9.09,4.25,Madera,44.13,Baja Definitiva,2001-12-20,Bueu,Pontevedra,Galicia,Artes menores
ESP000007757,MANOLO,1989-05-10,7.0,2.2,Madera,33.83,Baja Definitiva,1997-10-29,Bueu,Pontevedra,Galicia,Artes menores
ESP000007758,CISNE,1989-05-10,6.0,1.11,Madera,34.57,Baja Definitiva,2003-06-02,Bueu,Pontevedra,Galicia,Artes menores
ESP000007759,CASILDO,1989-05-10,8.7,3.16,Madera,94.14,Baja Definitiva,2015-10-02,Bueu,Pontevedra,Galicia,Artes menores
ESP000007760,ROBIN,1989-05-10,10.05,3.15,Madera,36.77,Baja Definitiva,2004-12-14,Bueu,Pontevedra,Galicia,Artes menores
ESP000007761,CIGALA,1989-05-10,13.28,12.74,Madera,66.19,Baja Definitiva,2008-01-21,Bueu,Pontevedra,Galicia,Artes menores
ESP000007763,CUATRO VIENTOS,1989-05-10,10.0,8.82,Madera,66.19,Baja Definitiva,2005-06-06,Tarifa,Cádiz,Andalucía,Artes menores
ESP000007764,SAN JOSE NUMERO TRES,1989-05-10,12.56,13.29,Madera,69.87,Baja Definitiva,2000-01-10,Muros,A Coruña,Galicia,Artes menores
ESP000007765,MAR DE ONS DOS,1989-05-10,12.58,12.98,Madera,66.19,Baja Definitiva,2005-11-23,Bueu,Pontevedra,Galicia,Artes menores
ESP000007767,CABAZA,1989-05-10,7.5,2.21,Madera,8.83,Baja Definitiva,1995-04-27,Bueu,Pontevedra,Galicia,Artes menores
ESP000007768,PLAYA DE BON,1989-05-10,7.6,2.11,Madera,44.87,Baja Definitiva,2009-08-26,Bayona,Pontevedra,Galicia,Artes menores
ESP000007769,NUEVO ELENA,1989-05-10,8.45,3.54,Madera,99.29,Baja Definitiva,1995-01-11,Mugia,A Coruña,Galicia,Artes menores
ESP000007770,NUEVO CELITA,1989-05-10,9.0,3.68,Madera,44.12,Alta Definitiva,1989-05-10,Bueu,Pontevedra,Galicia,Artes menores
ESP000007772,ROSA DE LOS VIENTOS,1989-05-10,11.72,8.0,Madera,117.68,Baja Definitiva,2003-07-16,Bueu,Pontevedra,Galicia,Artes menores
ESP000007773,PERSIGUE EL MAR NUMERO DOS,1989-05-10,12.18,10.23,Madera,117.68,Baja Definitiva,1998-10-05,Algeciras,Cádiz,Andalucía,Artes menores
ESP000007774,COCIÑEIRO PRIMERO,1989-05-10,7.35,2.19,Madera,29.41,Alta Definitiva,1989-05-10,Bueu,Pontevedra,Galicia,Artes menores
ESP000007776,ELISA MATILDE,1989-05-10,11.85,8.382666666666667,Madera,63.99,Baja Definitiva,1991-12-31,Portonovo,Pontevedra,Galicia,Desconocido
ESP000007777,PRIMER JOSE,1989-05-10,4.55,0.82,Madera,7.35,Baja Definitiva,1995-10-06,Bueu,Pontevedra,Galicia,Artes menores
ESP000007778,HALLADO GONZALEZ,1989-05-10,6.41,1.3,Madera,7.5,Baja Provisional,2022-12-09,Bueu,Pontevedra,Galicia,Artes menores
ESP000007779,AGUILA,1989-05-10,8.0,2.62,Madera,35.3,Baja Definitiva,1991-12-31,Cedeira,A Coruña,Galicia,Desconocido
ESP000007780,GURE ITXAS BIZCOR,1989-05-10,16.0,24.570666666666668,Madera,95.61,Baja Definitiva,1991-12-31,Bermeo,Bizkaia,País Vasco,Palangre
